Year,Region,Area,Source_loan,Purpose_borrow,value,unit,source
2566,ภาคกลาง,นอกเขตเทศบาล,หนี้นอกระบบ,ใช้ซื้อ/เช่าซื้อบ้านและ/หรือที่ดิน,2845,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,ภาคกลาง,นอกเขตเทศบาล,หนี้นอกระบบ,ใช้ในการศึกษา,533,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,ภาคกลาง,นอกเขตเทศบาล,หนี้นอกระบบ,ใช้จ่ายอุปโภคบริโภคอื่นๆ ในครัวเรือน,99099,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,ภาคกลาง,นอกเขตเทศบาล,หนี้นอกระบบ,ใช้ในการทำธุรกิจ,23474,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,ภาคกลาง,นอกเขตเทศบาล,หนี้นอกระบบ,ใช้ในการทำการเกษตร,15935,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,ภาคกลาง,นอกเขตเทศบาล,หนี้นอกระบบ,อื่นๆ,995,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,ภาคเหนือ,รวม,รวม,รวม,1980375,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,ภาคเหนือ,รวม,หนี้ในระบบ ,ใช้ซื้อ/เช่าซื้อบ้านและ/หรือที่ดิน,178381,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,ภาคเหนือ,รวม,หนี้ในระบบ ,ใช้ในการศึกษา,111159,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,ภาคเหนือ,รวม,หนี้ในระบบ ,ใช้จ่ายอุปโภคบริโภคอื่นๆ ในครัวเรือน,1065206,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,ภาคเหนือ,รวม,หนี้ในระบบ ,ใช้ในการทำธุรกิจ,239259,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,ภาคเหนือ,รวม,หนี้ในระบบ ,ใช้ในการทำการเกษตร,803355,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,ภาคเหนือ,รวม,หนี้ในระบบ ,อื่นๆ,14377,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,ภาคเหนือ,รวม,หนี้นอกระบบ,ใช้ซื้อ/เช่าซื้อบ้านและ/หรือที่ดิน,5116,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,ภาคเหนือ,รวม,หนี้นอกระบบ,ใช้ในการศึกษา,2634,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,ภาคเหนือ,รวม,หนี้นอกระบบ,ใช้จ่ายอุปโภคบริโภคอื่นๆ ในครัวเรือน,73911,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,ภาคเหนือ,รวม,หนี้นอกระบบ,ใช้ในการทำธุรกิจ,12260,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,ภาคเหนือ,รวม,หนี้นอกระบบ,ใช้ในการทำการเกษตร,19087,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,ภาคเหนือ,รวม,หนี้นอกระบบ,อื่นๆ,949,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,ภาคเหนือ,ในเขตเทศบาล,รวม,รวม,623164,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,ภาคเหนือ,ในเขตเทศบาล,หนี้ในระบบ ,ใช้ซื้อ/เช่าซื้อบ้านและ/หรือที่ดิน,87195,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,ภาคเหนือ,ในเขตเทศบาล,หนี้ในระบบ ,ใช้ในการศึกษา,52764,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,ภาคเหนือ,ในเขตเทศบาล,หนี้ในระบบ ,ใช้จ่ายอุปโภคบริโภคอื่นๆ ในครัวเรือน,375447,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,ภาคเหนือ,ในเขตเทศบาล,หนี้ในระบบ ,ใช้ในการทำธุรกิจ,96039,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,ภาคเหนือ,ในเขตเทศบาล,หนี้ในระบบ ,ใช้ในการทำการเกษตร,129390,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,ภาคเหนือ,ในเขตเทศบาล,หนี้ในระบบ ,อื่นๆ,3915,ครัวเรือน,สำนักงานสถิติแห่งชาติ
